Category,Question,Answer,Priority,Last Updated
Электротехника,Какая основная единица измерения силы электрического тока?,Ампер (А),2024-03-10  
Электротехника,Чему равно напряжение в стандартной бытовой электросети в России?,220 Вольт (В) для однофазной сети, 380 В для трехфазной,2023-11-22  
Электротехника,Как называется прибор для измерения электрического сопротивления?,Омметр,2025-01-05  
Электротехника,Что происходит с током в цепи при последовательном соединении сопротивлений?,Сила тока одинакова на всех участках цепи,2024-05-18  
Электротехника,Как называется явление возникновения ЭДС в проводнике при изменении магнитного потока?,Электромагнитная индукция,2023-09-30  
Электротехника,Какой тип двигателя наиболее распространен в промышленности для привода станков?,Трехфазный асинхронный двигатель с короткозамкнутым ротором,2024-07-02  
Электротехника,Для чего предназначено устройство защитного отключения (УЗО)?,Для защиты человека от поражения электрическим током при утечке тока на землю,2025-02-14  
Электротехника,Каково должно быть максимально допустимое напряжение прикосновения в нормальном режиме работы электроустановок по ПУЭ?,Не более 50 В переменного тока,2024-08-29  
Электротехника,Как называется элемент электрической цепи, предназначенный для накопления энергии в электрическом поле?,Конденсатор,2023-12-11  
Электротехника,Какой закон описывает тепловое действие электрического тока?,Закон Джоуля-Ленца,2024-04-07